channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UCSFCh5NL4qXrAy9u-u2lX3g,2021-03,1148376,393041,47411,6227,86.86591719221278
UCSFaf99eT5T4wNN1O2Z3NZg,2021-03,11876,1316,1916,52,97.28601252609603
UCSH4t_nhsNIoxPza4ooYqaA,2021-03,20408,3009,1041,38,96.34966378482228
UCSlv7Z-4q7_7NRkzJB10A5Q,2021-03,15440,3442,285,50,82.45614035087719
UCTEZGNJDqv-isWSPRsEhnRA,2021-03,15904,0,183,0,100.0
UCTIE7LM5X15NVugV7Krp9Hw,2021-03,59236,17684,3746,452,87.93379604911907
UCUKD-uaobj9jiqB-VXt71mA,2021-03,593251,150767,31353,2090,93.33397123082321
UCUKngXhjnKJ6KCyuC7ejI_w,2021-03,3997,1806,114,21,81.57894736842105
UCUZ5AlC3rTlM-rA2cj5RP6w,2021-03,193953,70640,2535,833,67.14003944773175
UCUc8GZfFxtmk7ZwSO7ccQ0g,2021-03,548488,68292,19517,863,95.57821386483579
UCUtKkGKef8BYMs3h-3zQm9A,2021-03,36931,5746,1133,36,96.82259488084732
UCV2m2UifDGr3ebjSnDv5rUA,2021-03,67828,0,612,0,100.0
UCV4EoK6BVNl7wxuxpUvvSWA,2021-03,50911,9468,1596,140,91.22807017543859
UCV5ZZlLjk5MKGg3L0n0vbzw,2021-03,302077,31821,16639,466,97.19935092253141
UCW8WKciBixmaqaGqrlTITRQ,2021-03,146717,45054,3164,382,87.92667509481669
UCWCc8tO-uUl_7SJXIKJACMw,2021-03,95553,36606,3653,385,89.46071721872434
UCWImOidHDmm0KK20bkF-rSQ,2021-03,67840,3221,7507,224,97.01611828959638
UCWsfcksUUpoEvhia0_ut0bA,2021-03,22644,0,1458,0,100.0
UCWz0CSYCxf4MhRKPDm220AQ,2021-03,38085,5925,2656,170,93.59939759036145
UCX7YkU9nEeaoZbkVLVajcMg,2021-03,206218,24513,19372,1086,94.39397067933099
